NEWS,CATEGORY,SEVERITY LEVEL
"A Pune-based businessman lost Rs 8.86 lakh to cyber fraudsters after he contacted a mobile phone number displayed on a website which claimed to provide air ticket cancellation services.
The businessman, who is a 59-year-old resident of Kothrud, lodged aFirst Information Report(FIR) on Wednesday at the Kothrud police station.
As per the FIR, about a month ago, the businessman was searching online how to cancel air tickets when he came across the website which claimed to provide the service. He subsequently contacted the mobile phone number on July 14, 2024.
The person who received his call asked for his bank and debit card details. Once the businessman shared his bank and debit card information, he was further asked to download an online application on his mobile phone.
After he downloaded the application, Rs 8.86 lakh was transferred from his bank account to two other bank accounts through net banking on July 15.
The businessman then realised that he had been scammed and contacted the bank authorities and the cyber police station to complain about the unauthorised transactions from his account.
An investigation revealed that when the businessman downloaded the mobile application, the cyber fraudsters got “remote access” of his mobile phone and without his knowledge and consent, added two “beneficiaries”, identified as Ismail and Sohail, to his bank account.
The cyber fraudsters transferred the money to Ismail and Sohail through multiple online transactions.
The police have launched a probe and said said the unidentified online scammers in this case have been booked under Sections 319 (2) (cheating by personation) and 318 (4) (fraudulently deceiving people) of the Bharatiya Nyaya Sanhita and sections of the Information Technology Act.
Click hereto joinExpress Pune WhatsApp channeland get a curated list of our stories
Zakir Khan's talk show Aapka Apna Zakir premiered on Sony TV recently. John Abraham appeared on the show as a guest and recalled the story of how and why Shah Rukh Khan gifted him a bike after the success of Pathaan.

",customer care fraud,High
"A Delhi Court Saturday sent three persons who allegedly committed a trans-national cyber crime, in which foreign nationals were targeted and defrauded, to CBI custody for four days. Forty others who were also allegedly involved in the crime were sent to judicial custody till August 9.
“So far as accused Dhruv Khattar, Dhairya Khattar and Tushar Arora are concerned, to unearth the conspiracy and to gather evidence, their custodial interrogation is necessary,” Additional Chief Judicial Magistrate (ACJM) Nishant Garg said while sending the three persons to CBI custody.
It was alleged by theCBI that the accused persons operated illegal call centersfrom New Delhi and adjoining areas and subjected US nationals to fraud by using pseudonymous identities ofMicrosoftofficials. The central probe agency also alleged that transactions worth 15 million US dollars were involved in this case.
A US citizen, Michelle Finch, was cheated of 6.5 million dollars on November 24, 2022, alleged the agency. An accused, impersonating a Microsoft employee, made Finch open two bank accounts in J P Morgan Chase Bank and City Bank and transferred 6.5 million US dollars to 16 Hong Kong-based bank accounts, as per the CBI.
It all started when Finch received a pop-up on her computer screen displaying a phone number. On contacting the phone number, a person impersonated a Microsoft Tech Support representative and informed her that her identity had been hacked.
The CBI also alleged that the accused persons were in contact with each other through Signal Messaging App using 46 mobile numbers of different Indian Service Providers. Illegal calls were made from areas associated with five IP addresses of New Delhi, Noida and Gurgaon, the agency further alleged.
Seeking custody of Dhruv, Dhairya and Arora for seven days, the CBI said that “crucial incriminating evidence directly linking the accused persons with the crime were recovered from the personal vehicle of accused Dhairya.”
Arora, the agency said, worked as a Cloud Support Engineer at the call center and played a “very crucial role in perpetrating trans-national cyber crime.”
For seeking judicial custody of the other 40 persons, the CBI submitted that the investigation was at a very nascent and crucial stage and that it needed to find the whereabouts of the other accused persons along with the flow of the proceeds of crime.
In a jam-packed room at Rouse Avenue Court, the counsel of the accused persons argued that they were not provided with a copy of theFIRor the remand application. They also argued that the accused persons were not informed of the grounds of arrest.
“Considering the trans-national character and gravity of the offence; the fact that the investigation is at very early stage; to prevent the accused persons from tampering with the evidence, influencing the witnesses, repeating the offence and for expeditious and fair investigation, they are required to be remanded to judicial custody,” ACJM Garg said while sending 40 accused persons to judicial custody and rejecting the arguments of their lawyers.
Click here to join The Indian Express on WhatsApp and get latest news and updates
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.
",Social Media Crimes,High
"Three police officers attached to Hari Nagar cyber police station in New Delhi have been suspended after they were booked for alleged bribery and extortion in a complaint filed by a student of Amity University who was ‘falsely implicated’ in an OTP fraud case in 2023, the police said on Friday.
The police at the Vigilance Station registered a case against Sub-Inspector Brijesh Redhu, Head Constable Satish Kumar and Head Constable Anil Yadav on July 10 under sections 384 (extortion) and 34 of IPC and section 7 (bribery) of the Prevention of Corruption Act.
“The police officers have been suspended, as the investigation is ongoing,” Virender Sharma, Assistant Commissioner of Police, Vigilance wing of the Delhi Police, said on Friday.
Apart from framing a false case against him, the university student, Suson Adhikary, also accused the officers of beating him, his brother and his friend Aditya Raj and demanding Rs 40 lakh to “settle the case”.
According to theFirst Information Report(FIR), the 19-year-old student who was running an e-commerce company named Adhikary Media OPC Private Ltd was summoned to the Tilak Nagar Police station on March 10, based on a complaint by a customer who allegedly lost Rs 27,000 after she called up the Adhikary firm customer care to register a complaint. The complainant and Suson, along with his brother Sulav Adhikary and friend Aditya Raj were sent to the Hari Nagar station.
According to the FIR, SI Redhu abused Suson accusing him of OTP fraud and then asked his colleague Satish to beat him. “Satish then slapped and punched Suson multiple times. He then checked Suson’s phone gallery which had photographs of his girlfriend and passed vulgar comments on her. He also thrashed Sulav till he bled. SI Brijesh then checked Suson’s and Aditya’s company accounts and asked them to pay Rs 25 lakh if they want to be released. He also threatened to arrest Suson’s mother, on whose name his company is registered,” the complainant said, adding that Brijesh soon increased his demand to Rs 40 lakh.
The policemen sent Suson, along with Sulav, to get the cash from his home, and the men returned with Rs 7.5 lakh and handed over the cash to the officers in a bag. The police kept the three in police custody.
The next morning (March 11), around 5 am, Brijesh told Suson, who was detained in the station, that his father had filed a missing complaint at Mandawali police station and sent him home to bring the remaining amount.
Suson, using his savings, his mother’s credit card and a friend’s account, managed to pay Rs 19.5 lakh to the officers, after which all three of them were allowed to leave, the FIR alleged.
On March 11, at around 11 pm Suson got a call from Brijesh threatening him not to reveal anything about the extortion at the police station.
“They thought we were young and took us for a ride,” said Aditya Raj.
The police ordered an inquiry into the incident on April 20, 2023, based on Suson’s complaint at DCP West Delhi, Vigilance on March 13. Suson and Sulav have applied for an anticipatory bail.
Click here to join The Indian Express on WhatsApp and get latest news and updates
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.


",Emerging Threats,High
"A special PMLA court in Ranchi on Saturday convicted five Jamtara residents under the anti-money laundering law for running an “organised” cyber crime syndicate, official sources said.
A Netflix series named “Jamtara” that streamed in 2020 is said to have been based on real-life incidents of phishing phone calls and bank accounts scamming launched by some criminals from this district giving it the moniker of ‘cyber crime capital’ for many years.
Police and other probe agencies later went full steam against these criminals, many of whom were youngsters.
Official sources told PTI those convicted under the Prevention of Money Laundering Act (PMLA) include Ganesh Mandal (51), his son Pradeep Kumar Mandal (30), Santosh Mandal (51) and his sons Pintu Mandal (33) and Ankush Kumar Mandal (27).
The quantum of sentence is expected to be announced by the court on July 23, the sources said.
The federal probe agency had filed a charge sheet against the five accused in May, 2019.
The ED slapped criminal charges under the PMLA against these cyber criminals after taking cognisance of a Jharkhand PoliceFIRand charge sheet that charged them with illegal withdrawal and transfer of money from the ATMs/bank accounts of gullible people in guise of being a bank official.
The ED had said its investigation found that the accused “in connivance with other persons acquired funds in their bank accounts and family member’s bank accounts by cheating the bank customers, some other individuals and invested the same in the construction of houses and purchase of vehicles.”
Click here to join The Indian Express on WhatsApp and get latest news and updates
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.

",Financial Fraud,High
"Cyber fraudsters recently allegedly hacked the server of a commercial bank in Noida’s Sector 62 to steal Rs 16.71 crore, said the police. They added that this major breach was accomplished by hacking into the bank’s server and transferring the money to 84 different accounts.
The fraud at Nainital Bank Limited came to light during a routine reconciliation of the bank’s balance sheet. The bank’s IT Manager, Sumit Shrivastava, noticed a discrepancy of Rs 3,60,94,020 in the RTGS (Real Time Gross Settlement) account on June 17 while reviewing the balance sheets.
Following this, Srivastava filed a case with the Noida Cyber Crime Police Station on July 10 under Indian Penal Code sections 420 (cheating and dishonestly inducing delivery of property) and 66C (fraudulent use of electronic signature) and requestedassistance from CERT-IN(Indian Computer Emergency Response Team) to investigate the matter.
Station House Officer Umesh Chandra Naithani toldthe Indian Expressthat the complaint had been filed on the NCRB portal earlier, but anFIRwas registered only on July 10 while he was stationed there.
Additional Commissioner of Police, Cyber Noida, Vivek Ranjan Rai, said that some unidentified men had hacked the bank manager’s login ID and password and transferred the amount to 89 different accounts. “We have formed a special investigation team to look into the matter,” said the ACP.
Shrivastava said that after finding the discrepancies in the RTGS account, the team verified the CBS(Core Banking System) transactions with the SFMS( Structured Financial Messaging system), which was not tallying. The team felt this was due to some issue in the bank system. However, on June 20, it was confirmed that 84 instances of suspicious transactions had occurred between June 17 and June 21.
Click here to join The Indian Express on WhatsApp and get latest news and updates
Zakir Khan's talk show Aapka Apna Zakir premiered on Sony TV recently. John Abraham appeared on the show as a guest and recalled the story of how and why Shah Rukh Khan gifted him a bike after the success of Pathaan.

",Data Breach,High
"A 47-year-old businesswoman from Dadar has filed a complaint with the cyber police after allegedly being duped of Rs 5.88 crore by unknown individuals by convincing her about a parcel of drugs sent in her name.
According to police, the incident took place between March 30 and April 5 when someone purporting to be an executive from a courier company called the woman and told her that a package sent to Iran in her name contained MDMA drugs.
The caller then connected her with an accomplice posing as aMumbaicyber cell personnel. One of the fraudsters even impersonated senior IPS officer and Navi Mumbai Police Commissioner Milind Bharambe, and conducted aSkypemeeting with her.
The fraudsters convinced her that she needed to obtain a clearance certificate to prove her non-involvement in sending the package and also warned her that under the new National Security Act (NSA), disclosing information about the case could lead to her own detention for questioning.
They further claimed that they were investigating a money laundering case related to the package and that she would need to transfer funds to a bank account to clear her name. They assured her that the transferred money would be deposited in an RBI-managed account and returned after the case was resolved.
The woman then transferred Rs 5.88 crore in nine transactions. When she did not receive any follow-up communication, she informed her husband, a financial advisor. They subsequently approached the central cyber police station and filed a complaint.
According to police, the money was withdrawn from various bank accounts in Punjab and other northern states.
“We have registered a case and are tracking the transaction trails to find the culprits. We are also analysing call data records and Skype IP addresses to locate them,” an officer said.
Click here to join The Indian Express on WhatsApp and get latest news and updates
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.

",Financial Fraud,High
"A 40-year-old man has filed a complaint with the Mumbai Cyber Police after he lost Rs 46.4 lakh to a share trading cyber fraud. The police have begun an investigation and are trying to locate the culprits.
The Goregaon-based complainant works as a manager for a tech company. On April 6, he clicked on an Instagram post and was automatically added to a WhatsApp group ‘5 Paisa J03 Value Investment Portfolio’. The WhatsApp group had over 171 members, and information regarding various stocks was being shared on the platform, encouraging people to trade.
According to the police, one of the admins of the WhatsApp group on May 9, on an individual WhatsApp chat, encouraged the complainant to earn a good profit via their mobile application, ‘FIVE PAISA SES’.
The complainant followed their instructions, signed up on their app, and opened an account. After this, the admins and his associates would guide the complainant in trading. They would ask him to deposit money in their system for trading and earning money.
The complainant would follow the same and would see profit crediting in his account opened with their trading app, theFIRstates.
For the next month, he did ‘trading’ following their instructions and could see a total of Rs 1.62 crore credited in his virtual wallet.
When the complainant tried to withdraw the same, his request was declined. When he contacted the system admin and their associates, they told him that his account had been blocked due to some rules violations, and once he paid the Rs 44.64 lakh penalty only he would get all the money, the FIR added.
This is when the complainant realised that he was being duped. The three accused persons regularly called him and threatened him to pay the money or else he would have to face action from SEBI for the ‘crime’, said an officer.
The complainant then approached the North Region Cyber Police and filed a complaint.
The police have registered a case under relevant sections of the Indian Penal Code and Information Technology Act for cheating, impersonation, forgery, criminal conspiracy, etc. against three suspects and are probing the matter.Police are trying to trace the cyber fraud members by obtaining details of the transactions and the end beneficiaries, from the bank.
Click here to join The Indian Express on WhatsApp and get latest news and updates
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.
",Financial Fraud,High
"Identifying himself as a Mumbai Crime Branch officer, an unidentified caller duped a 76-year-old Chandigarh woman of Rs 80 lakh, while threatening her with arrest in connection with 24 money laundering cases against her, police said Saturday.
According to police, complainant Preetpal Kaur, a resident of Sector 11,Chandigarh, a retired CRID official, told police that she received a call from an unidentified caller, who stated that he was calling from theMumbaiCrime Branch.
The accused caller told the woman that she would be arrested soon as the mobile number issued against her Aaadhar card had 24 complaints of money laundering registered, police said.
The caller told the complainant that she would have to deposit Rs 80 lakh in a secret account for surveillance, which would be refunded if she was found innocent, police said.
The woman, thus, deposited Rs 80,31,764 in the account through RTGS as directed by the accused, but when she again called the accused on his phone number, it was found switched off, police said.
Finding that she was duped, the woman approached the Cyber Crime Cell of the Chandigarh Police with a complaint.
Acting on the complaint, theCyber Crime Cellconducted a preliminary inquiry and subsequently registered anFIRunder relevant sections of the Bharatiya Nyaya Sanhita (BNS) at the Cyber Crime police station.
Police said the account in which themoney was transferredwas being verified along with the mobile number details of the accused.
SP (Cyber Crime) Ketan Bansal said, “The Cyber Cell team is working on the case, and efforts are being made to trace the accused persons.”
In another case of cheating, Ashwani Kumar, a resident of New Police Lines, Sector 26, Chandigarh, alleged that Harbir Singh, a property dealer in Maloya Colony, cheated him of Rs 3 lakh on the pretext of selling a house in Sector 45C, police said, adding that an FIR was registered and an investigation was going on.
Click here to join The Indian Express on WhatsApp and get latest news and updates
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.



",Financial Fraud,High
"For Shiv Shankar Saha, a call to update his electricity bill seemed like a regular one from customer care. It was only after the call ended that the 67-year-old realised that a whopping sum of nearly Rs 6 lakh had been charged to his credit card.
On June 16, Saha, a doctor and a resident of Safdarjung Enclave, registered a complaint on the National Cybercrime Reporting Portal (NCRP) alleging he received a call to update his BSES electricity bill. The caller asked him to pay a nominal amount of Rs 10 for updating the bill and Saha paid with his HSBC credit card.
During the call, police said the accused allegedly used a remote access app — which lets one control other devices from your own — to virtually access Saha’s phone while he was entering his credit card details into it.
Once the call was disconnected, Saha found three transactions of Rs 1,98,221.40 each were done with his card. Police then registered anFIRunder IPC sections 419 (cheating by impersonation) and 420 (inducing property dishonestly) at Cyber Police Station Safdarjung.
According to police, investigation revealed that the total cheated amount of Rs 5,94,664 was credited to three accounts through a payment gateway. One of these accounts, an IndusInd Bank one in the name of one Kunal, a resident of Samta Vihar in Mukundpur, received Rs 1.95 lakh.
“Police reached Kunal’s home, where he said a man named Aditya alias Eddy got this account opened on the pretext of getting him a job. He also provided a mobile number used by Aditya,” said DCP (Southwest) Rohit Meena.
Police found that Aditya lived in Burari. “When we reached his home, he wasn’t there. His location was then traced,” said an officer at the Cyber Police Station.
On June 28, police said a search was conducted at Aditya’s possible hideouts in Burari before he was finally arrested. A mobile phone and two SIM cards were recovered from him.
Police then uncovered an elaborate scam — bank accounts were opened in the names of innocent people, on the pretext of getting them jobs, but were used as a front for scammers indulging infinancial fraud.
Police said questioning revealed that Aditya opened Kunal’s bank account almost two months ago. He then gave access to the account to some unknown people inWest Bengal, whom he met on a Telegram group. The group was for people who wanted to buy or sell fake bank accounts for financial fraud. Aditya got the addresses of the buyers from the group and sent the bank account kits through courier, police said.
“He (accused) used to create accounts of poor people and job seekers and sold more than 10 accounts to fraudsters in Jamtara, West Bengal and Jharkhand. He was arrested inHyderabadfor a similar crime,” said the officer.The accused also has two previous NCRP complaints against him.
Click here to join The Indian Express on WhatsApp and get latest news and updates
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.

",Financial Fraud,High
"The government has set up an inter-ministerial committee of various law enforcement and intelligence agencies to tackle the recent “spurt” in transnational organised cybercrimes being launched against Indians from various South East Asian countries such as Cambodia.
Indian Cybercrime Coordination Centre’s (I4C) chief executive officer Rajesh Kumar told a press conference here that the Ministry of Home Affairs (MHA) had set up the committee on May 16 and it has held two meetings so far.
The high-powered committee is headed by the special secretary (internal security) in the MHA with officers from Reserve Bank of India, Department of Financial Services, banks, Financial Intelligence Unit, Department of Telecommunication (DoT) and financial technology companies, among others, as its members.
“We have seen a spurt in organised cybercrime being emanating from South East Asian countries that include Cambodia, Myanmar and Laos PDR. The increase is in terms of volume, the number of victims (Indians) affected and the amount of money lost,” Kumar said “We find that 45 per cent of cyber financial frauds taking place in the country are originating from this region,” he said.
The I4C is a wing under the cyber and information security division of the MHA and is mandated to tackle burgeoning cybercrimes and attacks in the country in a coordinated and comprehensive manner.
Chief Executive Officer (CEO) Kumar said that “the quantum of money lost per crime is much higher in cybercrime cases originating from the South East Asian countries and, hence, this high-level committee has been constituted to have a very focused action here.” The I4C is “continuously monitoring and blocking” cybercrime infrastructure likeSkypeaccounts, advertisements onGoogleand Meta, SMS headers, SIM cards, bank accounts, among others, he said.
Kumar said that 3.25 lakh “mule” accounts (bank accounts used for laundering cybercrime funds by using KYC documents of others) have been frozen over the last four months.
More than 3,000 URLs and 595 mobile phone apps have been blocked, 5.3 lakh SIM cards and 80,848 IMEI numbers have been suspended since July last year and 3,401 unlawful content on various social media platforms, website and WhatsApp groups have been taken down over the last two months for “committing” cybercrimes, he said.
This includes 1,500 Skype IDs being taken down too, Kumar said.
“We have seen that the cybercrimes emanating from this (South East Asian) region are being perpetrated by luring people through investment, gaming and dating apps, and fake trading apps etc.,” the officer said.
The total amount reported to have been lost in cybercrimes in the country over the last few months is Rs 7,061.51 crore, out of which “we have been able to put a lien on around 12 per cent, which is about Rs 812.72 crore”, the CEO said.
Kumar said cybercrimes such as “digital arrest” — in which someone impersonates a government official — were also being reported and as many as 4,599 complaints of this fraud were reported to between January-April.
During the same period, 20,043 complaints of trading scam, 62,687 of investment scam and 1,725 of romance or dating scam have been reported in the country.
“This is the abuse of technology…these are basically spoof calls. These calls are being made from abroad by spoofing an Indian number…we are working with the DoT to check this,” Kumar said.
“I would like to inform the general public that they should disconnect such calls and not panic…,” he said.The CEO said in a particular case, a number of Indian youngsters were “lured” in lieu of providing data entry jobs in Cambodia but once they reached there using the services of “fake” domestic agents, they were “compelled” to carry out cybercrimes like investment scams and trading app and dating scams.
TheAndhra PradeshPolice recently arrested three local agents after some Indian nationals employed in a cybercrime “suspected scam compound” in Sihanouk city of Cambodia protested.
The Indian Embassy in Phnom Penh has taken steps for their safety and 360 Indians are being sent back while some 60 people have been arrested by the local police, Kumar said.
The Indian government is in touch with the Cambodian government for repatriating the rest of the Indians stuck there and being forced into cybercrimes, he added.
“We would like to request and appeal to the public that they should not fall for such false and fake recruitment advertisements. Do not fall for easy income schemes that promise your huge returns in a very very short duration,” Kumar said.
“There are some people who are using good knowledge for bad work. The cybercrimes do a grave harm to the country. We at I4C along with other agencies are trying to enhance our capabilities to better tackle these crimes,” the CEO added.
Speaking about the recent spate of bomb threat emails sent to schools, hospitals and airports in various parts of the country, Kumar said these have been sent using VPNs (virtual private network) and investigating agencies were taking help from various countries to trace the culprits.
He also said that they “cannot rule out a Chinese hand” in various cybercrimes that are affecting Indians.
Click here to join The Indian Express on WhatsApp and get latest news and updates
Nine people have been arrested in the Porsche accident case, including the 17-year-old driver whose blood sample was swapped with his mother's at Sassoon Hospital. A chargesheet has been filed and bail applications submitted, with evidence showing the driver was drunk. Previous arrests include the minor's parents and hospital staff for conspiring to swap the samples.


",Emerging Threats,High
